window_id,timestamp,symbol,visual_regime,regime_type,volatility,trend_strength,high,low,close,volume,is_correct
2296,1778083020,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000495,0.0026,28574.25,28562.00,28563.75,409,False
2297,1778083080,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000413,0.0024,28564.25,28552.50,28563.50,542,False
2298,1778083140,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000375,0.0017,28565.50,28558.75,28560.25,335,False
2299,1778083200,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000360,0.0010,28562.00,28554.00,28557.50,442,False
2300,1778083260,NQM6.CME@RITHMIC,TREND_UP,RANGE,0.000363,0.0007,28569.75,28556.50,28567.75,579,True
2301,1778083320,NQM6.CME@RITHMIC,TREND_UP,RANGE,0.000348,0.0011,28574.00,28567.75,28573.00,472,True
2302,1778083380,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000339,0.0012,28577.25,28571.25,28575.50,480,False
2303,1778083440,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000321,0.0018,28579.50,28572.75,28573.75,461,False
2304,1778083500,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000318,0.0029,28579.50,28572.75,28576.75,370,False
2305,1778083560,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000316,0.0031,28577.00,28569.00,28571.75,501,False
2306,1778083620,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000291,0.0033,28578.75,28571.50,28578.50,270,False
2307,1778083680,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000294,0.0029,28580.00,28571.00,28572.25,474,False
2308,1778083740,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000293,0.0026,28574.50,28567.50,28574.00,381,False
2309,1778083800,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000315,0.0029,28590.00,28573.00,28587.50,1001,False
2310,1778083860,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000306,0.0035,28596.00,28587.25,28591.50,914,False
2311,1778083920,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000290,0.0038,28594.25,28588.75,28591.25,563,False
2312,1778083980,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000298,0.0051,28600.00,28590.25,28599.25,606,False
2313,1778084040,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000293,0.0062,28601.25,28595.00,28596.25,950,False
